|{|Method, FCNs Wld|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 11.5|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 47.1|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 8.2|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 43.2|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 20.7|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 0.7|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 13.1|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 29.0|
|{|Method, Curriculum|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 34.8|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 62.7|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 25.6|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 78.3|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 1.2|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 5.4|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 81.3|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 81|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 37.4|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 6.4|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 63.5|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 16.1|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 1.2|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 4.6|
|{|Method, Cross-City|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 35.7|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 77.7|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 30|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 77.5|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 9.6|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.3|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 25.8|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 10.3|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 15.6|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 77.6|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 79.8|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 44.5|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 16.6|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 67.8|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 14.5|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 7|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 23.8|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 36.1|
|{|Method, ROAD-Net|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 41.7|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 78.9|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 29.2|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 75.5|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 0.1|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 4.8|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 72.6|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 76.7|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 43.4|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 8.8|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 71.1|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 16|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 3.6|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 8.4|
|{|Method, Tsai etal.|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 37.6|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 80.1|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 29.1|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 77.5|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 2.8|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.4|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 26.8|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 11.1|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 18|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 78.1|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 76.7|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 48.2|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 15.2|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 70.5|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 17.4|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 8.7|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 16.7|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 36.1|
|{|Method, Sankaranarayanan etal.|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 42.1|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 69.6|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 28.7|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 69.5|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 12.1|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.1|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 25.4|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 11.9|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 13.6|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 82|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 81.9|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 49.1|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 14.5|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 66|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 6.6|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 3.7|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 32.4|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 35.4|
|{|Method, CBST|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 40.7|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 9.7|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 14.1|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 58.5|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 4.7|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.3|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 22.7|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 1.9|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 12.9|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 70.7|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 60.9|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 50.2|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 7.2|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 32.2|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 17.4|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 1.3|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 8|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 23.3|
|{|Method, Ours (Non Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 26.5|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 77|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 29.3|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 67.9|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 0.1|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.1|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 24.7|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 10.7|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 17.4|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 79.4|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 78.8|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 49.2|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 13.7|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 70.3|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 4.3|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 5.8|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 12.8|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 33.8|
|{|Method, Ours (Input-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 39.7|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 79.6|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 29.7|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 75.7|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 11.4|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.3|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 25.3|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 11.1|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 14.8|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 76.7|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 76.9|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 45.3|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 15.9|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 67.7|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 15.8|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 4.8|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 13.5|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 35.3|
|{|Method, Ours (Output-level Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 40.6|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, road|}, mIoU, 78.3|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sidewalk|}, mIoU, 29.2|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, building|}, mIoU, 76.9|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, wall|}, mIoU, 11.4|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, fence|}, mIoU, 0.3|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, pole|}, mIoU, 26.5|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic light|}, mIoU, 10.8|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, traffic sign|}, mIoU, 17.2|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, vegetation|}, mIoU, 81.7|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, sky|}, mIoU, 81.9|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, person|}, mIoU, 45.8|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, rider|}, mIoU, 15.4|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, car|}, mIoU, 68|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bus|}, mIoU, 15.9|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, motorbike|}, mIoU, 7.5|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|, |Class, bicycle|}, mIoU, 30.4|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU, 37.3|
|{|Method, Ours (Input&Output Adapt)|, |Dataset, Cityscapes|, |Backbone, VGG|}, mIoU excl. *, 43|
