Key,Count
Model::baseline,4
Model::gpt-4o-2024-05-13,2
Name::Batch size,1
Name::Dataset,1
Name::FL architecture,1
Name::Learning Rate,1
Name::NN architecture,1
Name::Number of clients,1
Name::Number of global rounds,1
Name::Number of local epochs,1
Name::Optimizer,1
Number of Integers::5,9
Number of Integers::567,9
Number of Integers::6,9
Number of Integers::7,9
Number of Integers::8,3
Number of Synthetic Videos::0,3
Number of Synthetic Videos::2500,4
Number of Synthetic Videos::4000,2
Number of Synthetic Videos::5000,4
Number of Synthetic Videos::8000,1
Number of images::100,18
Number of images::150,18
Number of images::1755,1
Number of images::17550,1
Number of images::200,18
Number of images::300,12
Number of images::35100,1
Number of images::400,12
Number of images::4387,1
Number of images::50,18
Number of images::500,12
Number of images::600,12
Number of images::70200,1
Number of images::8775,1
OOD-1000::0,3
OOD-F::0,3
OOD-N::0,3
Output Level Adaptation::depth output map,1
Output Level Adaptation::individually aligning both semantic segmentation and depth estimation,1
Output Level Adaptation::joint output space of depth estimation and semantic segmentation,1
Output Level Adaptation::non-adaptive baseline,1
Output Level Adaptation::semantic segmentation output map,1
Percentage of Real Videos::0%,2
Percentage of Real Videos::10%,3
Percentage of Real Videos::100%,3
Percentage of Real Videos::50%,3
Pre-training::None,5
Quantization::-,28
Quantization::Real Data,56
Quantization::Synthetic Data,56
"Range::[1,1000]",12
"Range::[1,100]",12
"Range::[1,60]",15
Setting::CP-Hybrid,14
Setting::Gen-Hybrid,14
Size (MB)::0.79,14
Size (MB)::1.10,14
Size (MB)::174.68,7
Size (MB)::18.10,14
Size (MB)::24.10,14
Size (MB)::261.22,7
Size (MB)::32.77,14
Size (MB)::4.21,7
Size (MB)::43.67,14
Size (MB)::49.01,14
Size (MB)::65.31,14
Size (MB)::96.22,7
Task::Grasping,21
Task::Labelling,21
Type of synthetic videos::background,1
Type of synthetic videos::simplified,2
Type::Sampling,6
Type::Synthetic Data,1
Type::Training,6
Value::0,1
Value::0.05,1
Value::0.1,1
Value::0.9,1
Value::0.95,1
Value::1234,1
Value::130,1
Value::167,1
Value::1e-4,1
Value::1e-9,1
Value::2,1
Value::20,1
Value::32,2
Value::32002,1
Value::36,1
Value::5,2
Value::50,1
Value::8,2
Value::AMP,1
Value::Adamw,1
Value::CIFAR-10,1
Value::CNN,1
Value::Cosine,1
Value::Cross-Silo Horizontal FL,1
Value::Stochastic gradient descent,1
Value::bfloat16,1
task::Metric Learning,16
task::Synthetic Data,791
